frame,x,y,visible
0,1092,527,1
1,1089,526,1
2,1092,527,1
3,1092,527,1
4,1092,527,1
5,1092,527,1
6,1092,527,1
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,989,697,1
12,1002,675,1
13,982,707,1
14,1107,527,1
15,1107,527,1
16,1108,527,1
17,1108,527,1
18,1108,527,1
19,1108,527,1
20,1106,527,1
21,1105,527,1
22,1099,527,1
23,1098,527,1
24,1084,721,1
25,1084,721,1
26,1097,527,1
27,1096,527,1
28,1096,527,1
29,1099,527,1
30,1099,527,1
31,1092,527,1
32,1091,527,1
33,1058,580,1
34,1058,579,1
35,1059,579,1
36,1059,578,1
37,1059,578,1
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,1737,1021,1
54,1737,1021,1
55,1784,1051,1
56,1897,1125,1
57,2011,1198,1
58,2124,1271,1
59,2237,1344,1
60,-1,-1,0
61,-1,-1,0
62,1202,882,1
63,1240,921,1
64,1202,882,1
65,1788,1027,1
66,1202,882,1
67,1777,1011,1
68,1766,1012,1
69,1766,1010,1
70,1751,999,1
71,1732,994,1
72,1714,996,1
73,1697,1000,1
74,1680,1005,1
75,1511,980,1
76,1518,989,1
77,1525,998,1
78,1533,1007,1
79,1540,1016,1
80,-1,-1,0
81,-1,-1,0
82,1016,726,1
83,1626,999,1
84,1639,1006,1
85,1661,1012,1
86,1683,1018,1
87,1705,1024,1
88,1727,1030,1
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,1620,995,1
96,1622,994,1
97,1626,990,1
98,1627,984,1
99,1626,985,1
100,1628,976,1
101,1642,978,1
102,1638,958,1
103,1644,959,1
104,915,591,1
105,913,591,1
106,1638,959,1
107,1644,953,1
108,891,591,1
109,917,591,1
110,1201,886,1
111,1201,886,1
112,1202,883,1
113,902,591,1
114,1200,882,1
115,1200,878,1
116,1201,875,1
117,1200,875,1
118,1332,891,1
119,1257,871,1
120,1450,714,1
121,1354,711,1
122,894,591,1
123,895,591,1
124,894,590,1
125,894,590,1
126,976,569,1
127,862,497,1
128,747,426,1
129,633,354,1
130,906,591,1
131,906,591,1
132,917,591,1
133,917,591,1
134,909,591,1
135,908,591,1
136,908,591,1
137,899,591,1
138,899,591,1
139,918,591,1
140,918,591,1
141,908,591,1
142,908,591,1
143,805,528,1
144,741,500,1
145,1669,935,1
146,1669,935,1
147,1669,935,1
148,1669,935,1
149,1670,937,1
150,1670,937,1
151,1670,936,1
152,1670,936,1
153,1669,936,1
154,1669,936,1
155,1671,937,1
156,1671,937,1
157,1671,938,1
158,1671,938,1
159,1671,938,1
160,1671,938,1
161,1671,938,1
162,1671,938,1
163,1672,939,1
164,1672,939,1
165,1672,939,1
166,1672,939,1
167,1672,939,1
168,1672,940,1
169,1672,940,1
170,1672,940,1
171,1672,940,1
172,1672,940,1
173,1672,940,1
174,1673,941,1
175,1673,940,1
176,1673,940,1
177,1673,940,1
