epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.426,1.31313,5.62473,0.79406,0.64089,0.45783,0.51762,0.32968,1.62797,5.00675,1.02169,0.000664336,0.000664336,0.000664336
2,86.7536,1.45987,4.88542,0.89911,0.76553,0.60241,0.67093,0.35013,1.66267,4.4024,1.0453,0.00130465,0.00130465,0.00130465
3,128.614,1.34622,4.55182,0.81662,0.73012,0.53012,0.60622,0.36692,1.61448,4.27469,1.05386,0.00191856,0.00191856,0.00191856
4,170.656,1.24269,4.06184,0.78987,0.80299,0.60241,0.68217,0.41948,1.65785,3.18824,1.0252,0.0018812,0.0018812,0.0018812
5,213.692,1.29699,3.56835,0.83687,0.72402,0.69539,0.7039,0.42395,1.60136,2.62768,1.09726,0.0018416,0.0018416,0.0018416
6,256.848,1.38838,3.20412,0.87807,0.69838,0.59036,0.67421,0.41335,1.64998,2.5834,1.06071,0.001802,0.001802,0.001802
7,300.286,1.24805,2.8532,0.80266,0.77085,0.68902,0.74873,0.45438,1.58867,2.09755,1.02673,0.0017624,0.0017624,0.0017624
8,343.628,1.21496,2.63394,0.78376,0.80853,0.73494,0.81041,0.45011,1.57117,1.82702,1.0831,0.0017228,0.0017228,0.0017228
9,387.066,1.24625,2.41854,0.82208,0.84664,0.63855,0.75351,0.46777,1.58904,1.85963,1.07438,0.0016832,0.0016832,0.0016832
10,431.067,1.22722,2.10701,0.87732,0.8901,0.56627,0.69537,0.41928,1.5428,1.97401,1.08344,0.0016436,0.0016436,0.0016436
11,475.238,1.22697,2.09785,0.86994,0.68604,0.6506,0.7168,0.43561,1.60576,2.16932,1.07879,0.001604,0.001604,0.001604
12,519.297,1.23594,2.01638,0.83119,0.96487,0.63855,0.82519,0.49709,1.52989,1.55276,1.05785,0.0015644,0.0015644,0.0015644
13,564.097,1.12268,1.68696,0.83403,0.90421,0.68245,0.79173,0.46871,1.46365,1.62139,1.0432,0.0015248,0.0015248,0.0015248
14,608.804,1.27021,1.87274,0.84785,0.98224,0.66642,0.77796,0.50529,1.42208,1.69468,1.02926,0.0014852,0.0014852,0.0014852
15,654.113,1.22658,1.67314,0.83662,0.81721,0.71084,0.76988,0.48499,1.48161,1.74594,1.03819,0.0014456,0.0014456,0.0014456
16,698.832,1.20423,1.58198,0.83211,0.85515,0.64019,0.76083,0.51824,1.38649,1.6739,1.03908,0.001406,0.001406,0.001406
17,744.16,1.12679,1.5001,0.83485,0.81846,0.74699,0.81891,0.50679,1.52284,1.18243,1.05765,0.0013664,0.0013664,0.0013664
